127.0.0.1 - - [21/Oct/2016:23:50:05 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Oct/2016:23:50:23 -0200] "GET /teste HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [21/Oct/2016:23:50:43 -0200] "GET /web HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Oct/2016:23:50:45 -0200] "GET /web/ HTTP/1.1" 200 2562
0:0:0:0:0:0:0:1 - - [21/Oct/2016:23:50:45 -0200] "GET /web/javax.faces.resource/button/button.js.jsf;jsessionid=7B4BA0790F43A07919492D5234A9704E?ln=primefaces&v=2.2.1 HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [21/Oct/2016:23:50:45 -0200] "GET /web/css/estilo.css HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [21/Oct/2016:23:50:45 -0200] "GET /web/javax.faces.resource/jquery/ui/jquery-ui.css.jsf;jsessionid=7B4BA0790F43A07919492D5234A9704E?ln=primefaces&v=2.2.1 HTTP/1.1" 200 15885
0:0:0:0:0:0:0:1 - - [21/Oct/2016:23:50:45 -0200] "GET /web/javax.faces.resource/jquery/jquery.js.jsf;jsessionid=7B4BA0790F43A07919492D5234A9704E?ln=primefaces&v=2.2.1 HTTP/1.1" 200 86962
0:0:0:0:0:0:0:1 - - [21/Oct/2016:23:50:45 -0200] "GET /web/javax.faces.resource/editor/editor.js.jsf;jsessionid=7B4BA0790F43A07919492D5234A9704E?ln=primefaces&v=2.2.1 HTTP/1.1" 200 13900
0:0:0:0:0:0:0:1 - - [21/Oct/2016:23:50:45 -0200] "GET /web/javax.faces.resource/core/core.js.jsf;jsessionid=7B4BA0790F43A07919492D5234A9704E?ln=primefaces&v=2.2.1 HTTP/1.1" 200 4594
0:0:0:0:0:0:0:1 - - [21/Oct/2016:23:50:45 -0200] "GET /web/javax.faces.resource/editor/editor.css.jsf;jsessionid=7B4BA0790F43A07919492D5234A9704E?ln=primefaces&v=2.2.1 HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [21/Oct/2016:23:50:45 -0200] "GET /web/javax.faces.resource/jquery/ui/jquery-ui.js.jsf;jsessionid=7B4BA0790F43A07919492D5234A9704E?ln=primefaces&v=2.2.1 HTTP/1.1" 200 214809
0:0:0:0:0:0:0:1 - - [21/Oct/2016:23:50:45 -0200] "GET /web/javax.faces.resource/themes/sam/theme.css.jsf?ln=primefaces&amp;v=2.2.1 HTTP/1.1" 200 20498
0:0:0:0:0:0:0:1 - - [21/Oct/2016:23:50:46 -0200] "GET /web/javax.faces.resource/themes/sam/images/ui-default.png.jsf?ln=primefaces&amp;v=2.2.1 HTTP/1.1" 200 3721
0:0:0:0:0:0:0:1 - - [21/Oct/2016:23:50:46 -0200] "GET /web/javax.faces.resource/editor/images/toolbar.gif.jsf?ln=primefaces&amp;v=2.2.1 HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [21/Oct/2016:23:50:46 -0200] "GET /web/javax.faces.resource/editor/images/buttons.gif.jsf?ln=primefaces&amp;v=2.2.1 HTTP/1.1" 200 3064
